name,image,location,website,role
The Corps Dance Crew,corpsdancecrew,Booth FT1 ~ FT2,https://x.com/TheCorpsDC,
Organized Touhou Networking in Japan,placeholder,Booth FT3,https://twipla.jp/events/675392,
Bowers Museum (Saturday),bowersmuseum,Booth FT5,https://www.bowers.org/,
Dave & Busters(Sunday),placeholder,Booth FT5,https://www.daveandbusters.com/us/en/home,
Anime Los Angeles,animelosangeles,Booth FT6,https://animelosangeles.org/,
LA Idol Matsuri,idolmatsuri,Booth FT7,https://www.la-idolmatsuri.org/,
