name,image,location,website,role
Cloudie,cloudie,Booth FB01,https://linktr.ee/cookietanuki,Official Artist
Freeze,freezex,Booth FB02,https://icecute.squarespace.com/,Official Artist
Lemon-Crème,lemoncreme,Booth FB03,https://www.etsy.com/shop/LemonCremeStudios,Festival Booth
Kusoya / Yasoku,placeholder,Booth FB04,,Festival Booth
Youkai Mountain,youkaimountain,Booth FB05,https://x.com/YoukaiMountain,Festival Booth
Wudjadoo,wudjadoo,Booth FB06,https://wudjadoo.myshopify.com/,Festival Booth
Maid Academy,maidacademy,Booth FB07,https://linktr.ee/maidacademy,Vendor
Edward Cadenza,placeholder,Booth FB08 ~ FB10,,Festival Booth
