"event_title","event_description","event_room","event_start_day","event_start_time","event_end_day","event_end_time","event_type","event_age_limit"
"Cosplay Meetup: Lunar Landing in the Bamboo Forest (TH08, TH15, TH14)","Cosplay Meetup & Photoshoot for cosplayers from the below games and characters: 

**Main Protagonists**
- Reimu
- Marisa

**Touhou 8 ""Imperishable Night""**
- Yukari
- Alice
- Remilia
- Sakuya
- Yuyuko
- Youmu
- Wriggle
- Mystia
- Keine
- Tewi
- Reisen
- Eirin
- Kaguya
- Mokou

**Touhou 15 ""Legacy of Lunatic Kingdom""**
- Sanae
- Reisen
- Seiran
- Ringo
- Doremy
- Sagume
- Clownpiece
- Junko
- Hecatia

**Touhou 14 ""Double Dealing Character""**
- Cirno
- Wakasagahime
- Sekibanki
- Kagerou
- Benben & Yatsuhashi
- Seija
- Sukuna
- Raiko
- Mokou
- Hecatia
- Raiko","Pine Wind Garden","6/14/25","12:30","6/14/25","13:30","Cosplay.Photoshoot",""
"Cosplay Meetup: The Faithful Gods (TH10, TH12, TH13, TH16, TH18)","Cosplay Meetup & Photoshoot for cosplayers from the below games and characters:

**Main Protagonists**
- Reimu
- Marisa

**Touhou 10 ""Mountain of Faith""**
- Shizuha
- Minoriko
- Hina
- Nitori
- Momiji
- Aya
- Kanako
- Suwako

**Touhou 12 ""Undefined Fantastic Object""**
- Sanae
- Nazrin
- Kogasa
- Ichirn & Unzan
- Murasa
- Shou
- Byakuren
- Nue

**Touhou 13 ""Ten Desires""**
- Sanae
- Youmu
- Yuyuko
- Kogasa
- Yoshika
- Seiga
- Tokiko
- Futo
- Nue
- Mamizou

**Touhou 16 ""Hidden Star in Four Seasons""**
- Cirno
- Aya
- Eternity Larva
- Nemuno
- Lily White
- Aunn
- Narumi
- Satono & Mai
- Okina

**Touhou 18 ""Unconnected Marketeers""**
- Sakuya
- Sanae
- Mike
- Takane
- Sanyo
- Misumaru
- Tsukasa
- Megumu
- Chimata
- Momoyo
- Murasa
- Yuyuko
- Youmu","Pine Wind Garden","6/14/25","13:30","6/14/25","14:30","Cosplay.Photoshoot",""
"Fumo Meet Up","Interested in getting to know other Fumo owners at the con? Stop by this fumo small gathering/photoshoot!","Pine Wind Garden","6/14/25","15:00","6/14/25","16:00","Photoshoot",""
"Heart of the Hijack: Why Are There So Many Touhou Hijacks?","Touhou hijacks have long been a core part of the Touhou experience, but how and why do they keep on happening? Self-proclaimed Touhou hijackologist Delta Pie, operator of the Touhou Hijack Archive on Twitter and BlueSky, explores the stories behind popular and not-so-popular Touhou hijacks to try to make sense of how Touhou keeps getting into the most bizarre places.","Children's Art Wing","6/14/25","10:00","6/14/25","11:00","Panels",""
"The Soku Rundown","Touhoufest, EVO, Frosty Faustings, and CEOtaku champion DaBomb presents his quick fix, lightning fast guide to learning Touhou 12.3: Hisoutensoku. Join to learn a unique way to enjoy the series through fighting games. All skill levels in fighting games are welcome. Learn the ropes, pick a character, get some ideas, and then get out there to have fun and have Soku.","Children's Art Wing","6/14/25","11:30","6/14/25","12:30","Panels",""
"Designing and Creating Touhou Cosplays that Fit YOUR Needs!","Interested in Touhou cosplay but don’t know where to start? Can’t find a character that suits your body-type or would feel comfortable to cosplay? Want to rep your favorite character but don’t feel comfortable in feminine clothing? Come and join us! We will cover everything from closet cosplays to designing and creating your own cosplay from scratch! In addition, we will give a lot of different designs and cosplay ideas so you can have a Touhou cosplay you love, no matter your level of experience!","Children's Art Wing","6/14/25","13:00","6/14/25","14:30","Panels",""
"Queer Gensokyo: Touhou through a Queer Lens","This panel is about the queer characters and identities which exist in Gensokyo and in the wider Touhou Project. It consists of a brief overview of what a queer lens is, before applying that lens to several characters and to the setting of Gensokyo. Audience participation is encouraged, but this is NOT a panel to debate the validity of identity and queerness. ","Children's Art Wing","6/14/25","15:00","6/14/25","16:00","Panels",""
"Writing a Touhou Book (The Sumireko Chronicle) with Megapig9001","Writer Megapig9001 details how he ended up writing a Touhou Fiction Novella for TouhouFest 2024. Megapig will detail how the idea of the book came to be, the hurdles of getting the book made, and different experimental ideas the book employs. Megapig will also offer advice to fellow Touhou Writers.","Children's Art Wing","6/14/25","16:30","6/14/25","17:30","Panels",""
"Itasha: The Automotive Expression of your Favorite Waifu","Interested in Anime Cars? Want to know more about their history and the process of starting on a project of your own? You've come to the right place. This is a panel designed to demystify what they are, teach you more about the culture, and give you the fundamental building blocks to make own of your own!","Children's Art Wing","6/14/25","18:00","6/14/25","19:00","Panels",""
"Maid Academy Performance","Maid Academy Cafe, a local Maid & Butler cafe located in Orange County, will be hosting a small performance involving a variety of popular songs. For more information about the group [check out their Instagram](https://www.instagram.com/maidacademycafe/).","Torino Plaza","6/15/25","11:00","6/15/26","12:00","Performance",""
"TAMUSIC Performance","Here comes a returning guest of honor, TAMUSIC!!!! He'll be performing with us again this year at TouhouFest 2025 with his signature violin!","Torino Plaza","6/15/25","13:30","6/15/26","14:30","Guest.Performance",""
"JAM with TAM","A special jam session where musically inclined con attendees will be playing on-stage with TAM performing various Touhou arrangements!","Torino Plaza","6/15/25","14:30","6/15/26","15:30","Guest.Performance",""
"TAM Signing/Meet and Greet","An opportunity to meet + get to know TAM himself and get autographs as desired!","Torino Plaza","6/15/25","15:30","6/15/26","16:00","Guest",""
"Closing Ceremonies","Thank you all for attending TouhouFest 2025! MikoTan and others on staff will give a few closing remarks.","Torino Plaza","6/15/25","17:30","6/15/26","18:00","Convention",""
